   34  473.0001 161.2004  12765     0  7256  5509
   35  473.0005 161.2006  12847    82  7251  5596
   36  473.3823 161.3852  12911    64  7261  5650
   37  473.0004 161.4991  13044   133  7275  5769
   38  472.7158 161.4986  13037     7  7275  5762
   39  472.6179 161.3832  13063    26  7254  5809
   40  472.7513 161.3726  13114    51  7245  5869
   41  472.6893 161.1253  13166    52  7271  5895
   42  473.0006 161.4964  13145    21  7300  5845
   43  473.0004 161.4974  13161    16  7287  5874
   44  473.0001 161.4970  13233    72  7303  5930
   45  472.9998 161.3315  13240     7  7341  5899
   46  472.9513 161.1007  13180    60  7370  5810
   47  472.9503 161.0986  13182     2  7419  5763
   48  472.9985 161.0002  13179     3  7427  5752
   49  472.9987 160.9980  13112    67  7478  5634
   50  472.9996 160.9983  13026    86  7501  5525
   51  472.9995 161.0008  12892   134  7539  5353
   52  472.9986 161.0047  12877    15  7532  5345
   53  472.8573 161.1923  12769   108  7546  5223
   54  472.6131 161.2196  12704    65  7538  5166
   55  472.6104 161.2172  12627    77  7550  5077
   56  472.6098 161.2169  12478   149  7554  4924
   57  472.5002 161.1656  12400    78  7529  4871
   58  472.5005 160.8335  12376    24  7538  4838
   59  472.3945 160.7820  12360    16  7558  4802
   60  472.5020 160.7274  12148   212  7490  4658
   61  472.7266 160.8192  12172    24  7511  4661
   62  472.8623 160.9983  12082    90  7485  4597
   63  472.8624 160.9976  12020    62  7499  4521
   64  472.6692 161.1192  12005    15  7537  4468
   65  472.6702 161.1204  11986    19  7589  4397
   66  472.7865 161.0846  11877   109  7585  4292
   67  472.6710 161.1226  11794    83  7593  4201
   68  472.7628 161.0376  11819    25  7593  4226
   69  472.9989 160.9990  11732    87  7593  4139
   70  473.0017 160.9994  11767    35  7582  4185
   71  473.0008 161.0014  11703    64  7597  4106
   72  473.1215 161.0037  11680    23  7623  4057
   73  472.9999 161.0036  11626    54  7656  3970
   74  472.7639 161.0425  11651    25  7660  3991
   75  472.9997 160.9997  11701    50  7652  4049
   76  473.1503 160.8849  11599   102  7658  3941
   77  473.1238 160.8339  11534    65  7663  3871
   78  473.2370 160.7998  11482    52  7653  3829
   79  473.3320 160.8721  11410    72  7648  3762
   80  473.4980 160.7238  11379    31  7620  3759
   81  473.4993 160.7243  11306    73  7584  3722
   82  473.4990 160.7244  11336    30  7573  3763
   83  473.4785 160.6068  11388    52  7559  3829
   84  473.5214 160.3912  11117   271  7447  3670
   85  473.6178 160.2414  11129    12  7463  3666
   86  473.5008 160.2738  11143    14  7472  3671
   87  473.5027 160.4963  11174    31  7491  3683
   88  473.5004 160.4971  11244    70  7509  3735
   89  473.5013 160.4987  11253     9  7494  3759
   90  473.7469 160.7471  11337    84  7514  3823
   91  473.7477 160.7488  11339     2  7513  3826
   92  473.6304 160.7881  11324    15  7504  3820
   93  473.4998 160.7772  11398    74  7641  3757
   94  473.3523 160.6492  11400     2  7594  3806
   95  473.6289 160.7860  11195   205  7470  3725
   96  473.7476 160.7471  11133    62  7447  3686
   97  473.7745 160.4994  10856   277  7357  3499
   98  473.7748 160.4972  10806    50  7317  3489
   99  473.8794 160.4099  10814     8  7334  3480
  100  473.8813 160.4109  10681   133  7306  3375
  101  473.8668 160.4633  10643    38  7354  3289
  102  473.7153 160.4967  10568    75  7354  3214
  103  473.8189 160.1815  10541    27  7347  3194
  104  473.9996 159.9997  10509    32  7343  3166
  105  474.1980 159.9998  10545    36  7305  3240
  106  474.1807 159.8189  10427   118  7298  3129
